Canonical_ID,Original_Name,Full_Name,Smiley_ID,Smiley_Name,URAP_ID,URAP_Name,Gender,Chapter,Page,Saga
7,"Aðalsteinn inn sigrsæli Játvarðs son, Englakonungr, ",Aðalsteinn inn sigrsæli Játvarðs son,67,Athelstan the Victorious/the Faithful,:185:431,Athelstan the Victorious,:1:1,:-1:9,:-1:284,:Egil:Laxdoela
10,"Aðils (Aðgils), jarl í Bretlandi, ",Aðils (Aðgils),2,Adils (Earl in Britain),:192,Adils,:1,:-1,:-1,:Egil
36,"Áki inn auðgi, danskr maðr, ",Áki inn auðgi,4,Aki the Wealthy,:173,Aki,:1,:-1,:-1,:Egil
43,"Aldís Ljótsdóttir (Hólmgöngu-Ljóts),  ",Aldís Ljótsdóttir (Hólmgöngu-Ljóts),5,Aldis Ljotsdottir (the Dueller),:613,Aldis,:0,:50,:374,:Laxdoela
53,"Álfdís Konálsdóttir, kona Óláfs feilans, ",Álfdís Konálsdóttir,10,Alfdis (wife of Olaf Thorsteinsson Feilan),:404,Alfdis,:0,:7,:281,:Laxdoela
54,"Álfdís, kona Refs at Haugi, ",Álfdís,9,Alfdis (at Haug. wife of Ref),:92,Alfdis,:0,:27,:540,:Gisla
57,"Álfgeirr, Suðreyingr, ",Álfgeirr,11,Alfgeir (Earl in Northumbria),:3,Alfgeir,:1,:-1,:-1,:Eyrbyggja
69,"Álfr askmaðr Özurarson tóta (Askmaðr), bróðir Gunnhildar drottningar, ",Álfr askmaðr Özurarson tóta (Askmaðr),6,Alf Askmann (brother of Queen Gunnhild),:182,Alf Askman,:1,:-1,:-1,:Egil
70,"Álfr Eysteinsson, í Dölum (Dala-Álfr), ",Álfr Eysteinsson,7,Alf of Dalir,:390:1,Alf of Dalir,:1:1,:6:-1,:280:-1,:Laxdoela:Eyrbyggja
73,"Álfr inn auðgi, ",Álfr inn auðgi,8,Alf the Wealthy (farmer by Eidaskog),:239,Alf the Wealthy,:1,:-1,:-1,:Egil
89,"Álöf Erlingsdóttir ins auðga úr Ostr, seinni kona Bjarnar hölds, ",Álöf Erlingsdóttir ins auðga úr Ostr,634,Olof Erlingsdottir,:143,Olof Erlingsdottir,:1,:-1,:-1,:Egil
110,"Án bogsveigir Bjarnarson, í Hrafnistu, ",Án bogsveigir Bjarnarson,15,An Bow-bender,:3:45,An Bow-bender,:1:1,:1:4,:189:504,:Vatnsdal:Gisla
111,"Án hrísmagi eða inn svarti, ",Án hrísmagi eða inn svarti,17,An the Black/Twig-belly,:483,An the Black,:1,:24,:315,:Laxdoela
113,"Án inn hvíti, ",Án inn hvíti,18,An the White,:482,An the White,:1,:24,:315,:Laxdoela
115,"Án rauðfeldr Grímsson loðinkinna, landnm., á Eyri í Arnarfirði, ",Án rauðfeldr Grímsson loðinkinna,16,An Grimsson Red-cloak (son of Grim Ketilsson Hairy-cheeks),:39,An Red-cloak,:1,:4,:504,:Gisla
123,"Áni, á Ánabrekku, ",Áni,19,Ani at Anabrekka (one of Skallagrim's men),:93,"Ani, Skallagrim's man",:1,:-1,:-1,:Egil
126,"Ari Másson, á Reykjahólum, ",Ari Másson,20,Ari Masson (of Reykjanes),:398,Ari Masson,:1,:6,:280,:Laxdoela
127,"Ari Súrsson (Þorbjarnarson súrs), ",Ari Súrsson (Þorbjarnarson súrs),21,Ari Sursson (brother of Gisli Sursson),:16,Ari,:1,:2,:501,:Gisla
134,"Ari Þorgilsson inn fróði, á Stað á Snæfellsnesi, ",Ari Þorgilsson inn fróði,22,Ari Thorgilsson the Learned,:703:4,Ari the Learned,:2:1,:78:-1,:420:-1,:Laxdoela:Eyrbyggja
135,"Ari Þorgilsson inn sterki, á Stað á Snæfellsnesi, ",Ari Þorgilsson inn sterki,23,Ari Thorgilsson the Strong,:685,Ari the Strong,:1,:78,:420,:Laxdoela
136,"Ari Þorkelsson, í Súrnadal, ",Ari Þorkelsson,24,Ari Thorkelsson (Skerauki),:3,Ari,:1,:1,:500,:Gisla
139,"Arinbjörn Þórisson hersir, ",Arinbjörn Þórisson hersir,25,Arinbjorn Thorisson the Hersir,:169,Arinbjorn Thorarson,:1,:-1,:-1,:Egil
143,"Ármóðr inn gamli Þorgrímsson, í Þykkvaskógi, ",Ármóðr inn gamli Þorgrímsson,26,Armod (of Thykkvaskog),:553,Armod,:1,:33,:328,:Laxdoela
145,"Ármóðr skegg, bóndi við Eiðaskóg, ",Ármóðr skegg,27,Armod Beard (wealthy farmer by Eidaskog),:234,Armod Beard,:1,:-1,:-1,:Egil
147,"Arnaldr Sæmundarson, ",Arnaldr Sæmundarson,29,Arnald Saemundarson,:76,Arnald Saemundarson,:1,:24,:225,:Vatnsdal
148,"Arnaldr, bóndi við Eiðaskóg, ",Arnaldr,28,Arnald (farmer in Eidaskog),:233,Arnald,:1,:-1,:-1,:Egil
157,"Arnbjörn Sleitu-Bjarnarson, ",Arnbjörn Sleitu-Bjarnarson,31,Arnbjorn Sleitu-Bjarnarson,:473,Arnbjorn,:1,:20,:303,:Laxdoela
167,"Arnfiðr, jarl á Hallandi, ",Arnfiðr,32,Arnfinn (Earl in Halland),:177,Earl Arnfinn in Halland,:1,:-1,:-1,:Egil
172,"Arngeirr Bersason í Hólmi í Hítardal, ",Arngeirr Bersason í Hólmi í Hítardal,35,Arngeir Bersason (from Holm),:195,Arngeir of Holm,:1,:-1,:-1,:Egil
203,"Arni Skeggjason (Sigurðr), á Flyðrunesi, ",Arni Skeggjason (Sigurðr),37,Ami Skeggjason (the Dueller),:23,Arni Skeggjason,:1,:3,:503,:Gisla
242,"Arnórr jarlaskáld Þórðarson, ",Arnórr jarlaskáld Þórðarson,40,Arnor the Earl's Poet,:686,Arnor the Earl's Poet,:1,:78,:420,:Laxdoela
253,"Arnórr, smiðr Víga-Skútu, ",Arnórr,38,Arnor ('a noisy fellow'),:55,Arnor,:1,:5,:505,:Gisla
257,"Arnviðr, jarl á Vermalandi, ",Arnviðr,43,Arnvid (Earl in Varmland),:339,Earl Arnvid,:1,:-1,:-1,:Egil
263,"Arnþrúðr, ambátt Hallfreðar, ",Arnþrúðr,42,Arnthrud (slave),:10,Arnthrud,:0,:1,:438,:Hrafnkel
275,"Ásbjörn Hrafnkelsson Freysgoða, ",Ásbjörn Hrafnkelsson Freysgoða,48,Asbjorn Hrafnkelsson (Frey's Godi),:14,Asbjorn,:1,:2,:439,:Hrafnkel
278,"Ásbjörn inn auðgi Harðarson, landnm. at Ásbjarnarstöðum, ",Ásbjörn inn auðgi Harðarson,47,Asbjorn Hardarson the Wealthy,:377,Asbjorn the Wealthy,:1,:6,:280,:Laxdoela
281,Ásbjörn Ketilsson (Þorsteinsson) í Kirkjubæ,Ásbjörn Ketilsson (Þorsteinsson) í Kirkjubæ,49,Asbjorn Ketilsson,:343,Asbjorn,:1,:1,:276,:Laxdoela
298,"Ásbjörn, at Jarðbrú, ",Ásbjörn,46,Asbjorn (Earl),:30,Asbjorn Harald's Earl,:1,:-1,:-1,:Egil
316,"Ásdís Óláfsdóttir (Aldís), kona Óttars Þorvaldssonar, ",Ásdís Óláfsdóttir (Aldís),51,Asdis Olafsdottir (from Haukagil),:55,Asdis Olafsdottir from Haukagil,:0,:16,:214,:Vatnsdal
317,"Ásdís Styrsdóttir, kona Snorra goða, ",Ásdís Styrsdóttir,51,Asdis Olafsdottir (from Haukagil),:13,Asdis,:2,:-1,:-1,:Eyrbyggja
321,"Ásgautr, jarl Haralds hárfagra, ",Ásgautr,52,Asgaut (Earl),:29,Asgaut Harald's Earl,:1,:-1,:-1,:Egil
322,"Ásgautr, þræll Þórðar godda, ",Ásgautr,53,Asgaut (slave of Thord Goddi),:456,Asgaut,:1,:11,:286,:Laxdoela
323,"Ásgeirr æðikollr Önundarson tréfóts, ",Ásgeirr æðikollr Önundarson tréfóts,54,Asgeir Audunarson Scatter-brain,:93,Asgeir Audunarson Scatter-brain,:1,:29,:237,:Vatnsdal
325,"Ásgeirr Auðunarson skökuls, at Ásgeirsá (sums staðar nefndr æðikollr), ",Ásgeirr Auðunarson skökuls,54,Asgeir Audunarson Scatter-brain,:573,Asgeir,:1,:40,:345,:Laxdoela
326,"Ásgeirr Auðunarson, Ásgeirsson-ár at Ásgeirsá, ",Ásgeirr Auðunarson,56,Asgeir Kjartansson (son of Kjartan Olafsson),:579,Asgeir,:1,:40,:345,:Laxdoela
330,"Ásgeirr Kjartansson, Óláfssonar (líklega nefndr skúmr), ",Ásgeirr Kjartansson,547,Kjartan Asgeirsson,:610,Asgeir,:1,:47,:366,:Laxdoela
331,"Ásgeirr Knattarson, í Vatnsfirði, ",Ásgeirr Knattarson,57,Asgeir Knattarson,:268:512,Asgeir Knattason,:1:1,:-1:31,:-1:326,:Egil:Laxdoela
341,"Asgerðr Bjarnardóttir hölds, kona Egils Skalla-Grímssonar, ",Asgerðr Bjarnardóttir hölds,58,Asgerd Bjarnardottir (wife of Thorolf Skallagrimsson and later of his brother Egil),:139,Asgerd Bjornsdottir,:0,:-1,:-1,:Egil
343,"Ásgerðr Þorbjarnardóttir selagnúps, kona Þorkels Súrssonar, ",Ásgerðr Þorbjarnardóttir selagnúps,59,Asgerd Thorbjarnardottir (wife of Thorkel Sursson),:51,Asgerd,:0,:5,:505,:Gisla
370,"Áslákr Þorbergsson í Langadal, ",Áslákr Þorbergsson í Langadal,60,Aslak Thorbergsson (of Langidal),:16,Aslak of Langadale,:1,:-1,:-1,:Eyrbyggja
375,"Áslaug Guttormsdóttir hertoga, ",Áslaug Guttormsdóttir hertoga,61,Aslaug Guttormsdottir,:109,Aslaug,:0,:-1,:-1,:Egil
390,"Ásmundr landnm. undir Gnúpi, ",Ásmundr landnm. undir Gnúpi,62,Asmund (slave of Ingimund Thorsteinsson),:36,Asmund slave of Ingimund Thorsteinsson,:1,:13,:209,:Vatnsdal
399,"Ásmundr Þorgrímsson hærulangr (hærukollr, æðikollr), á Bjargi, ",Ásmundr Þorgrímsson hærulangr (hærukollr æðikollr),63,Asmund Thorgrimsson Grey-locks,:576:17,Asmund,:1:1,:40:-1,:345:-1,:Laxdoela:Eyrbyggja
404,"Asný Vestarsdóttir, kona Ófeigs grettis Önundarsonar (ekki Einarssonar), ",Asný Vestarsdóttir,64,Asny Vestarsdottir (wife of Ofeig Grettir),:88,"Asny Vestar, Moeid's daughter",:0,:-1,:-1,:Egil
416,"Ástríðr Hrólfsdóttir hersis, kona Kjallaks ins gamla í Bjarnarhöfn, ",Ástríðr Hrólfsdóttir hersis,65,Astrid (wife of Bard Hoskuldsson),:18,Astrid,:2,:-1,:-1,:Eyrbyggja
426,"Ástríðr, kona Bárðar Höskuldssonar, ",Ástríðr,65,Astrid (wife of Bard Hoskuldsson),:487,Astrid,:0,:25,:318,:Laxdoela
449,"Atli inn mjóvi Hundólfsson, jarl á Gaulum, ",Atli inn mjóvi Hundólfsson,69,Atli the Slender (Earl at Gaular),:16,"Atli the Slender, Audbjorn's earl",:1,:-1,:-1,:Egil
451,"Atli inn rauði Úlfsson, á Miðjanesi, ",Atli inn rauði Úlfsson,71,Atli Ulfsson (the Squinter),:400,Atli,:1,:6,:280,:Laxdoela
452,"Atli inn skammi Þorgeirsson þyrnifótar, ",Atli inn skammi Þorgeirsson þyrnifótar,70,Atli Thorgeirsson the Short,:149,Atli Thorgeirsson the Short,:1,:-1,:-1,:Egil
472,"Auðbjörg, á Annmarkastöðum, ",Auðbjörg,75,Audbjorg (sister of Thorgrim Nef),:76,Audbjorg,:0,:18,:524,:Gisla
473,"Auðbjörn, konungr í Firðafylki, ",Auðbjörn,76,Audbjorn (King of Fjordane),:13,King Audbjorn of Fjordane,:1,:-1,:-1,:Egil
476,"Auðgísl Þórarinsson, í Langadal, ",Auðgísl Þórarinsson,77,Audgisl Thorarinsson,:651,Audgisl,:1,:67,:400,:Laxdoela
485,"Auðr in djúpúðga Ketilsdóttir flatnefs (Unnr), kona Óláfs ins hvíta Írakonungs, síðar landnámskona í Hvammi í Dölum, ",Auðr in djúpúðga Ketilsdóttir flatnefs (Unnr),73,Aud Ketilsdottir the Deep-minded (see also Unn Ketilsdottir the Deep-minded) ,:243,Aud Deep-Minded,:2,:-1,:-1,:Eyrbyggja
491,"Auðr Vésteinsdóttir, kona Gísla Súrssonar, ",Auðr Vésteinsdóttir,74,Aud Vesteinsdottir (wife of Gisli Sursson),:35,Aud,:0,:4,:504,:Gisla
496,"Auðr, kona Þórðar Ingunnarsonar (Bróka-Auðr), ",Auðr,72,Aud (Breeches-Aud),:551,Aud,:0,:32,:328,:Laxdoela
498,"Auðunn Asgeirsson, Auðunarsonar skökuls, ",Auðunn Asgeirsson,79,Audun Asgeirsson (son of Asgeir Scatter-brain),:578,Audun,:1,:40,:345,:Laxdoela
499,"Auðunn Asgeirsson, Auðunarsonsr, inn yngri, á Auðunarstöðum, ",Auðunn Asgeirsson,167,Egil Audunarson,:580,Audun,:1,:40,:345,:Laxdoela
501,"Auðunn festargramr (eða festargarmr), farmaðr, ",Auðunn festargramr (eða festargarmr),81,Audun Halter-dog,:622,Audun Halter-dog,:1,:51,:375,:Laxdoela
504,"Auðunn illskælda, skáld Haralds hárfagra, ",Auðunn illskælda,82,Audun the Uninspired (poet),:46,Audun the Uninspired,:1,:-1,:-1,:Egil
