Canonical_ID,Original_Name,Full_Name,Smiley_ID,Smiley_Name,URAP_ID,URAP_Name,Gender,Chapter,Page,Saga
1,"Abraham, ermskr byskup á Íslandi, ",Abraham,,,,,,,,
2,"Absalon, erkibyskup í Lundi, ",Absalon,,,,,,,,
3,"Absalon, galeiðuforingi, ",Absalon,,,,,,,,
4,"Aðal-Grímr (= Óláfr konungr helgi), ",Aðal-Grímr (= Óláfr konungr helgi),,,,,,,,
5,"Aðalbrekt, enskr maðr, ",Aðalbrekt,,,,,,,,
6,"Aðalráðr Játgeirsson, Englakonungr, ",Aðalráðr Játgeirsson,,,,,,,,
7,"Aðalsteinn inn sigrsæli Játvarðs son, Englakonungr, ",Aðalsteinn inn sigrsæli Játvarðs son,67,Athelstan the Victorious/the Faithful,:185:431,Athelstan the Victorious,:1:1,:-1:9,:-1:284,:Egil:Laxdoela
8,"Aðalsteinsfóstri, ",Aðalsteinsfóstri,,,,,,,,
9,"Aðgils, ",Aðgils,,,,,,,,
10,"Aðils (Aðgils), jarl í Bretlandi, ",Aðils (Aðgils),2,Adils (Earl in Britain),:192,Adils,:1,:-1,:-1,:Egil
11,"Aðísl (Aðils) inn ríki Óttarsson, Svíakonungr, ",Aðísl (Aðils) inn ríki Óttarsson,,,,,,,,
12,"Adrianus páfi, ",Adrianus páfi,,,,,,,,
13,"Ægileif Hrólfsdóttir, Helgasonar, kona Hróalds Höskuldssonar í Skörðum, ",Ægileif Hrólfsdóttir,,,,,,,,
14,"Ægileif Þorsteinsdóttir, kona Hlenna Ásmundarsonar, ",Ægileif Þorsteinsdóttir,,,,,,,,
15,"Ægir, sjávarguð, ",Ægir,,,,,,,,
16,"Æsa Grjótgarðsdóttir jarls (Hákonardóttir), móðir Ketilbjarnar gamla, ",Æsa Grjótgarðsdóttir jarls (Hákonardóttir),,,,,,,,
17,"Æsa Hákonardóttir jarls, ",Æsa Hákonardóttir jarls,,,,,,,,
18,"Æsa Hrólfsdóttir rauðskeggs (Ása), kona Þorsteins Sigmundarsonar, ",Æsa Hrólfsdóttir rauðskeggs (Ása),,,,,,,,
19,"Æsa in ljósa Eysteinsdóttir af Valdresi, kona Hjörleifs ins kvensama Hjörssonar, ",Æsa in ljósa Eysteinsdóttir af Valdresi,,,,,,,,
20,"Æsa in örðiga Hlöðvésdóttir, ",Æsa in örðiga Hlöðvésdóttir,,,,,,,,
21,"Æsa Kjallaksdóttir, í Svíney, ",Æsa Kjallaksdóttir,,,,,,,,
22,"Æsa Ljótólfsdóttir goða, kona Þórðar knapps Bjarnarsonar, ",Æsa Ljótólfsdóttir goða,,,,,,,,
23,"Æsa Oddleifsdóttir, kona Þorgils Gripssonar, ",Æsa Oddleifsdóttir,,,,,,,,
24,"Æsa Ófeigsdóttir grettis, Önundarsonar, ",Æsa Ófeigsdóttir grettis,,,,,,,,
25,"Æsa Vaðadóttir, á Skáldsstöðum í Berufirði, ",Æsa Vaðadóttir,,,,,,,,
26,"Æsa, kona Þórðar á Núpi, ",Æsa,,,,,,,,
27,"Ævarr Ketilsson inn gamli, landnm. í Ævarsskarði, ",Ævarr Ketilsson inn gamli,,,,,,,,
28,"Ævarr Vémundar orðlokars, ",Ævarr Vémundar orðlokars,,,,,,,,
29,"Ævarr Þorgeirsson inn gamli, landnm. á Arnhallsstöðum, ",Ævarr Þorgeirsson inn gamli,,,,,,,,
30,"Agði, sem Agðanes er við kennt, ",Agði,,,,,,,,
31,"Agnarr Ragnarsson loðbrókar, ",Agnarr Ragnarsson loðbrókar,,,,,,,,
32,"Agnarr Reginmóðsson, berserkr, ",Agnarr Reginmóðsson,,,,,,,,
33,"Agnarr, bóndi á Grænmörk, ",Agnarr,,,,,,,,
34,"Agni Alreksson, Svíakonungr, ",Agni Alreksson,,,,,,,,
35,"Áki Atlason, Ótryggssonar, ",Áki Atlason,,,,,,,,
36,"Áki inn auðgi, danskr maðr, ",Áki inn auðgi,4,Aki the Wealthy,:173,Aki,:1,:-1,:-1,:Egil
37,"Áki, ármaðr Sveinskonungs Úlfssonar, ",Áki,,,,,,,,
38,"Akkerisfrakki, gervinafn Óláfs Tryggvasonar, ",Akkerisfrakki,,,,,,,,
39,"Akra-Þórir, ",Akra-Þórir,,,,,,,,
40,"Akraskeggr, ",Akraskeggr,,,,,,,,
41,"Albertus byskup í Brimum, ",Albertus byskup í Brimum,,,,,,,,
42,"Albertus, erkibyskup í Brimum, ",Albertus,,,,,,,,
43,"Aldís Ljótsdóttir (Hólmgöngu-Ljóts),  ",Aldís Ljótsdóttir (Hólmgöngu-Ljóts),5,Aldis Ljotsdottir (the Dueller),:613,Aldis,:0,:50,:374,:Laxdoela
44,"Aldís Ófeigsdóttir grettis, Einarssonar, kona Áskels Ormssonar í Húsagarði, móðir Valla-Brands, ",Aldís Ófeigsdóttir grettis,,,,,,,,
45,"Aldís Ófeigsdóttir grettis, Önundarsonar tréfóts, (Ásdís), kona Bárðar Jökulssonar, rangl. talin móðir Valla-Brands, ",Aldís Ófeigsdóttir grettis,,,,,,,,
46,"Aldís Óláfsdóttir, ",Aldís Óláfsdóttir,,,,,,,,
47,"Áleifr, ",Áleifr,,,,,,,,
48,"Alexander Leósson, Miklagarðskeisari, ",Alexander Leósson,,,,,,,,
49,"Alexíus, Grikkjakonungr, ",Alexíus,,,,,,,,
50,"Alfarinn Válason, landnm. á Snæfellsnesi, ",Alfarinn Válason,,,,,,,,
51,"Álfdís Gamladóttir, ",Álfdís Gamladóttir,,,,,,,,
52,"Álfdís Koðránsdóttir, kona Brúna í Gnúpufelli, ",Álfdís Koðránsdóttir,,,,,,,,
53,"Álfdís Konálsdóttir, kona Óláfs feilans, ",Álfdís Konálsdóttir,10,Alfdis (wife of Olaf Thorsteinsson Feilan),:404,Alfdis,:0,:7,:281,:Laxdoela
54,"Álfdís, kona Refs at Haugi, ",Álfdís,9,Alfdis (at Haug. wife of Ref),:92,Alfdis,:0,:27,:540,:Gisla
55,"Álfgeirr, jarl í Norðimbralandi, ",Álfgeirr,,,,,,,,
56,"Álfgeirr, landnm. á Álfgeirsvöllum, ",Álfgeirr,,,,,,,,
57,"Álfgeirr, Suðreyingr, ",Álfgeirr,11,Alfgeir (Earl in Northumbria),:3,Alfgeir,:1,:-1,:-1,:Eyrbyggja
58,"Alfgerðr Arngeirsdóttir ins austræna, kona Þorgeirs Ljósvetningagoða, ",Alfgerðr Arngeirsdóttir ins austræna,,,,,,,,
59,"Álfgerðr læknir, at Ekkjufelli, ",Álfgerðr læknir,,,,,,,,
60,"Álfgerðr Þorleifsdóttir beiskalda, ",Álfgerðr Þorleifsdóttir beiskalda,,,,,,,,
61,"Álfgerðr Þórormsdóttir, ",Álfgerðr Þórormsdóttir,,,,,,,,
62,"Álfheiðr Vetrliðadóttir skálds, kona Högna Gunnarssonar, ",Álfheiðr Vetrliðadóttir skálds,,,,,,,,
63,"Álfheiðr Þorleifsdóttir beiskalda (Álfgerðr), kona Grundar-Ketils Þorsteinssonar, ",Álfheiðr Þorleifsdóttir beiskalda (Álfgerðr),,,,,,,,
64,"Álfheiðr Þorvaldsdóttir ins auðga, kona Gizurar Hallssonar, ",Álfheiðr Þorvaldsdóttir ins auðga,,,,,,,,
65,"Álfhildr, kona Kolla á Sauðanesi, svo fylgikona Víga-Skútu, ",Álfhildr,,,,,,,,
66,"Álfhildr, konungsambátt, ",Álfhildr,,,,,,,,
67,"Alfífa Álfrinsdóttir, drottning, ",Alfífa Álfrinsdóttir,,,,,,,,
68,"Álfr aftrkemba, í Sandey, ",Álfr aftrkemba,,,,,,,,
69,"Álfr askmaðr Özurarson tóta (Askmaðr), bróðir Gunnhildar drottningar, ",Álfr askmaðr Özurarson tóta (Askmaðr),6,Alf Askmann (brother of Queen Gunnhild),:182,Alf Askman,:1,:-1,:-1,:Egil
70,"Álfr Eysteinsson, í Dölum (Dala-Álfr), ",Álfr Eysteinsson,7,Alf of Dalir,:390:1,Alf of Dalir,:1:1,:6:-1,:280:-1,:Laxdoela:Eyrbyggja
71,"Álfr Finnbogason ramma, ",Álfr Finnbogason ramma,,,,,,,,
72,"Álfr goði, faðir Valla-Ljóts, ",Álfr goði,,,,,,,,
73,"Álfr inn auðgi, ",Álfr inn auðgi,8,Alf the Wealthy (farmer by Eidaskog),:239,Alf the Wealthy,:1,:-1,:-1,:Egil
74,"Álfr inn egzki, landnm. at Geipum, ",Álfr inn egzki,,,,,,,,
75,"Álfr inn litli, í Þambárdal, ",Álfr inn litli,,,,,,,,
76,"Álfr Þórarinsson, í Þambárdal, ",Álfr Þórarinsson,,,,,,,,
77,"Álfr, á Vors, ",Álfr,,,,,,,,
78,"Álfr, hersir í Þrándheimi, ",Álfr,,,,,,,,
79,"Álfr, í Ostu, ",Álfr,,,,,,,,
80,"Áli Oddsson (rangt Þorvarðsson) inn auðgi, á Söndum, ",Áli Oddsson (rangt Þorvarðsson) inn auðgi,,,,,,,,
81,"Áli Svarthöfðason ok Herdísar Oddsdóttur, Álasonar (ekki Herdísar Hrafnsdóttur; Óli), ",Áli Svarthöfðason ok Herdísar Oddsdóttur,,,,,,,,
82,"Áli Þorvarðsson, ",Áli Þorvarðsson,,,,,,,,
83,"Áli, sækonungr, ",Áli,,,,,,,,
84,"Álöf árbót Haraldsdóttir hárfagra, kona Þóris jarls þegjandi, ",Álöf árbót Haraldsdóttir hárfagra,,,,,,,,
85,"Álöf Arnþjófsdóttir, kona Halls Órækjusonar, ",Álöf Arnþjófsdóttir,,,,,,,,
86,"Álöf Böðvarsdóttir hersis (Ólöf), kona Teits Ketilbjarnarsonar, ",Álöf Böðvarsdóttir hersis (Ólöf),,,,,,,,
87,"Álöf Brynjólfsdóttir (Brunnólfsdóttir), kona Grímkels á Vörs, ",Álöf Brynjólfsdóttir (Brunnólfsdóttir),,,,,,,,
88,"Álöf elliðaskjöldr Ófeigsdóttir (Ólöf), kona Þórbergs kornamúla, ",Álöf elliðaskjöldr Ófeigsdóttir (Ólöf),,,,,,,,
89,"Álöf Erlingsdóttir ins auðga úr Ostr, seinni kona Bjarnar hölds, ",Álöf Erlingsdóttir ins auðga úr Ostr,634,Olof Erlingsdottir,:143,Olof Erlingsdottir,:1,:-1,:-1,:Egil
90,"Álöf Guðmundardóttir (Ólöf), kona Eyjólfs á Borg inni syðri í Víðidal, ",Álöf Guðmundardóttir (Ólöf),,,,,,,,
91,"Álöf Ingólfsdóttir, kona Eiríks snöru landnm. í Árnesi, ",Álöf Ingólfsdóttir,,,,,,,,
92,"Álöf kjannök (Kjannök) fóstra Guðmundarsona, ",Álöf kjannök (Kjannök) fóstra Guðmundarsona,,,,,,,,
93,"Álöf Özurardóttir, kona Kols Síðu-Hallssonar, ",Álöf Özurardóttir,,,,,,,,
94,"Álöf Ragnarsdóttir loðbrókar (Ólöf), kona Hunda-Steinars jarls, ",Álöf Ragnarsdóttir loðbrókar (Ólöf),,,,,,,,
95,"Álöf Snorradóttir goða, kona Jörundar Þorfinnssonar, ",Álöf Snorradóttir goða,,,,,,,,
96,"Álöf Þórðardóttir vaggagða (Sigríðr), kona Ásbjarnar jarls skerjablesa og síðar Gríms landnm. í Grímsnesi, ",Álöf Þórðardóttir vaggagða (Sigríðr),,,,,,,,
97,"Álöf Þorgrímsdóttir þönguls, ",Álöf Þorgrímsdóttir þönguls,,,,,,,,
98,"Álöf Þorsteinsdóttir rauðs (Ólöf), í Færeyjum, ",Álöf Þorsteinsdóttir rauðs (Ólöf),,,,,,,,
99,"Álöf Þorvarðsdóttir (Þorvaldsdóttir), Síðu-Hallssonar, fyrri kona eða fylgikona Halldórs Snorrasonar goða, móðir Guðrúnar í Vatnsfirði, ",Álöf Þorvarðsdóttir (Þorvaldsdóttir),,,,,,,,
100,"Alrekr Dagsson, Svíakonungr, ",Alrekr Dagsson,,,,,,,,
101,"Alrekr Hrappsson, faðir Ljótólfs goða á Völlum í Svarfaðardal, ",Alrekr Hrappsson,,,,,,,,
102,"Alrekr Þormóðarson ins ramma, ",Alrekr Þormóðarson ins ramma,,,,,,,,
103,"Ámr, jötunn, ",Ámr,,,,,,,,
104,"Ámr, úr Miðfjarðarnesbjörgum, ",Ámr,,,,,,,,
105,"Ámundi inn blindi Höskuldsson, ",Ámundi inn blindi Höskuldsson,,,,,,,,
106,"Ámundi inn hvíti, ",Ámundi inn hvíti,,,,,,,,
107,"Ámundi Þorgeirsson (Þórarinssonar skálds, Skeggjasonar, bróðir Æsu í Odda), ",Ámundi Þorgeirsson (Þórarinssonar skálds Skeggjasonar bróðir Æsu í Odda),,,,,,,,
108,"Ámundi Þorsteinsson, Síðu-Hallssonar, ",Ámundi Þorsteinsson,,,,,,,,
109,"Án Arnarson hyrnu (Onarr Þórisson, Unarr Arnarson), ",Án Arnarson hyrnu (Onarr Þórisson Unarr Arnarson),,,,,,,,
110,"Án bogsveigir Bjarnarson, í Hrafnistu, ",Án bogsveigir Bjarnarson,15,An Bow-bender,:3:45,An Bow-bender,:1:1,:1:4,:189:504,:Vatnsdal:Gisla
111,"Án hrísmagi eða inn svarti, ",Án hrísmagi eða inn svarti,17,An the Black/Twig-belly,:483,An the Black,:1,:24,:315,:Laxdoela
112,"Án inn heimski, grænlenzkr maðr, ",Án inn heimski,,,,,,,,
113,"Án inn hvíti, ",Án inn hvíti,18,An the White,:482,An the White,:1,:24,:315,:Laxdoela
114,"Án inn rammi Þorsteinsson, ",Án inn rammi Þorsteinsson,,,,,,,,
115,"Án rauðfeldr Grímsson loðinkinna, landnm., á Eyri í Arnarfirði, ",Án rauðfeldr Grímsson loðinkinna,16,An Grimsson Red-cloak (son of Grim Ketilsson Hairy-cheeks),:39,An Red-cloak,:1,:4,:504,:Gisla
116,"Án trúðr, at Gunnlaugarstöðum, ",Án trúðr,,,,,,,,
117,"Án Þórisson farmanns, ",Án Þórisson farmanns,,,,,,,,
118,"Án, á Ásbrandsstöðum, ",Án,,,,,,,,
119,"Án, í Hrauni, ",Án,,,,,,,,
120,"Án, í Kirkjufelli, ",Án,,,,,,,,
121,"Ánakol, bóndi á Írlandi, ",Ánakol,,,,,,,,
122,"Andríðr, í Brautarholti, ",Andríðr,,,,,,,,
123,"Áni, á Ánabrekku, ",Áni,19,Ani at Anabrekka (one of Skallagrim's men),:93,"Ani, Skallagrim's man",:1,:-1,:-1,:Egil
124,"Ari Högnason í Hjaltlandi, ",Ari Högnason í Hjaltlandi,,,,,,,,
125,"Ari Loðmundarson ins gamla, ",Ari Loðmundarson ins gamla,,,,,,,,
126,"Ari Másson, á Reykjahólum, ",Ari Másson,20,Ari Masson (of Reykjanes),:398,Ari Masson,:1,:6,:280,:Laxdoela
127,"Ari Súrsson (Þorbjarnarson súrs), ",Ari Súrsson (Þorbjarnarson súrs),21,Ari Sursson (brother of Gisli Sursson),:16,Ari,:1,:2,:501,:Gisla
128,"Ari Tannason, ",Ari Tannason,,,,,,,,
129,"Ari Vetrliðason skálds, ",Ari Vetrliðason skálds,,,,,,,,
130,"Ari Þjóðarsson, ",Ari Þjóðarsson,,,,,,,,
131,"Ari Þorbjarnarson súrs, ",Ari Þorbjarnarson súrs,,,,,,,,
132,"Ari Þorgeirsson, faðir Guðmundar byskups, ",Ari Þorgeirsson,,,,,,,,
133,"Ari Þorgilsson á Reykjahólum, ",Ari Þorgilsson á Reykjahólum,,,,,,,,
