Node ID,Name,First_chap,Gender,,,,,,,,,,,,,,,,,,
1,Herjolf,1,1,,,,"All references to ""The Vinland Sagas"" (Penguin 1997)",,,,,,,,,,,,,,
2,Bard Herjolfsson,1,1,,,,,,,,,,,,,,,,,,
3,Ingolf,1,1,,,,"Female = 0, Male = 1, Neither/Both=2 ",,,,,,,,,,,,,,
4,Thorgerd,1,0,,,,,,,,,,,,,,,,,,
5,Bjarni Herjolfsson,1,1,,,,,,,,,,,,,,,,,,
6,Eirik the Red,1,1,,,,,,,,,,,,,,,,,,
7,Christian,1,1,,,,,,,,,,,,,,,,,,
8,Leif Eiriksson,1,1,,,,,,,,,,,,,,,,,,
9,Thorvald Eiriksson,1,1,,,,,,,,,,,,,,,,,,
10,Thorstein Eiriksson,1,1,,,,,,,,,,,,,,,,,,
11,Freydis Eiriksdottir,1,0,,,,,,,,,,,,,,,,,,
12,Thorvard,1,1,,,,,,,,,,,,,,,,,,
13,Bjarni Herjolfsson's crew,1,2,,,,,,,,,,,,,,,,,,
14,Earl Eirik,2,1,,,,,,,,,,,,,,,,,,
15,Leif Eiriksson's crew,2,2,,,,,,,,,,,,,,,,,,
16,Tyrkir,2,1,,,,,,,,,,,,,,,,,,
17,Thorir the Norwegian,3,1,,,,,,,,,,,,,,,,,,
18,Parent of Helgi & Finnbogi,0,2,,,,,,,,,,,,,,,,,,
19,Thorir's crew,3,2,,,,,,,,,,,,,,,,,,
20,Thorvald Eiriksson's crew,4,2,,,,,,,,,,,,,,,,,,
21,Skraelings,4,2,,,,,,,,,,,,,,,,,,
22,Gudrid Thorbjarnardottir,3,0,,,,,,,,,,,,,,,,,,
23,Thorstein Eiriksson's crew,5,2,,,,,,,,,,,,,,,,,,
24,Thorstein the Black,5,1,,,,,,,,,,,,,,,,,,
25,Grimhild,5,0,,,,,,,,,,,,,,,,,,
26,Thorfinn Karlsefni,6,1,,,,,,,,,,,,,,,,,,
27,Thord Horse-head,6,1,,,,,,,,,,,,,,,,,,
28,Snorri Thordarson,6,1,,,,,,,,,,,,,,,,,,
29,Thorfinn Karlsefni's crew,6,2,,,,,,,,,,,,,,,,,,
30,Snorri Karlsefnisson,6,1,,,,,,,,,,,,,,,,,,
31,Gudrid (skraeling),6,0,,,,,,,,,,,,,,,,,,
32,Helgi,7,1,,,,,,,,,,,,,,,,,,
33,Finnbogi,7,1,,,,,,,,,,,,,,,,,,
34,Freydis Eiriksdottir's crew,7,2,,,,,,,,,,,,,,,,,,
35,Helgi & Finnbogi's crew,7,2,,,,,,,,,,,,,,,,,,
36,Southerner from Bremen,8,1,,,,,,,,,,,,,,,,,,
37,Thorgeir,8,1,,,,,,,,,,,,,,,,,,
38,Yngveld,8,0,,,,,,,,,,,,,,,,,,
39,Bishop Brand,8,1,,,,,,,,,,,,,,,,,,
40,Hallfrid,8,0,,,,,,,,,,,,,,,,,,
41,Runolf,8,1,,,,,,,,,,,,,,,,,,
42,Bishop Thorlak,8,1,,,,,,,,,,,,,,,,,,
43,Bjorn Karlsefnisson,8,1,,,,,,,,,,,,,,,,,,
44,Thorunn,8,0,,,,,,,,,,,,,,,,,,
45,Bishop Bjorn,8,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
