Canonical_ID,Name,Ori_Name,Egil_Saga,People_Of_Vatnsdal,People_Of_Laxardal,Bolli_Bollason_Tale,Hrafnkel_Frey_Godi,Confederates,Gisli_Sursson_Saga,Gunnlaug_Serpent_tongue,Ref_the_S,Vinland_Sagas,Greenlanders,Eirik_Red_Saga,Thorstein_Staff_struck,Halldor_Snorrason_II,Sarcastic_Halli,Thorstein_Shiver,Audun_From_West_Fjords,Story_wise_Icelander
1,Abraham,"Abraham, ermskr byskup á Íslandi, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Absalon,"Absalon, erkibyskup í Lundi, ",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3,Absalon,"Absalon, galeiðuforingi, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Aðal-Grímr (= Óláfr konungr helgi),"Aðal-Grímr (= Óláfr konungr helgi), ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Aðalbrekt,"Aðalbrekt, enskr maðr, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Aðalráðr Játgeirsson,"Aðalráðr Játgeirsson, Englakonungr, ",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,Aðalsteinn inn sigrsæli Játvarðs son,"Aðalsteinn inn sigrsæli Játvarðs son, Englakonungr, ",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Aðgils,"Aðgils, ",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Aðils (Aðgils),"Aðils (Aðgils), jarl í Bretlandi, ",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Aðísl (Aðils) inn ríki Óttarsson,"Aðísl (Aðils) inn ríki Óttarsson, Svíakonungr, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,Adrianus páfi,"Adrianus páfi, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,Ægileif Hrólfsdóttir,"Ægileif Hrólfsdóttir, Helgasonar, kona Hróalds Höskuldssonar í Skörðum, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Ægileif Þorsteinsdóttir,"Ægileif Þorsteinsdóttir, kona Hlenna Ásmundarsonar, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Ægir,"Ægir, sjávarguð, ",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Æsa Grjótgarðsdóttir jarls (Hákonardóttir),"Æsa Grjótgarðsdóttir jarls (Hákonardóttir), móðir Ketilbjarnar gamla, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,Æsa Hákonardóttir jarls,"Æsa Hákonardóttir jarls, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,Æsa Hrólfsdóttir rauðskeggs (Ása),"Æsa Hrólfsdóttir rauðskeggs (Ása), kona Þorsteins Sigmundarsonar, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Æsa in ljósa Eysteinsdóttir af Valdresi,"Æsa in ljósa Eysteinsdóttir af Valdresi, kona Hjörleifs ins kvensama Hjörssonar, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Æsa in örðiga Hlöðvésdóttir,"Æsa in örðiga Hlöðvésdóttir, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,Æsa Kjallaksdóttir,"Æsa Kjallaksdóttir, í Svíney, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,Æsa Ljótólfsdóttir goða,"Æsa Ljótólfsdóttir goða, kona Þórðar knapps Bjarnarsonar, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,Æsa Oddleifsdóttir,"Æsa Oddleifsdóttir, kona Þorgils Gripssonar, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Æsa Ófeigsdóttir grettis,"Æsa Ófeigsdóttir grettis, Önundarsonar, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Æsa Vaðadóttir,"Æsa Vaðadóttir, á Skáldsstöðum í Berufirði, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Æsa,"Æsa, kona Þórðar á Núpi, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Ævarr Ketilsson inn gamli,"Ævarr Ketilsson inn gamli, landnm. í Ævarsskarði, ",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Ævarr Vémundar orðlokars,"Ævarr Vémundar orðlokars, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,Ævarr Þorgeirsson inn gamli,"Ævarr Þorgeirsson inn gamli, landnm. á Arnhallsstöðum, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Agði,"Agði, sem Agðanes er við kennt, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
31,Agnarr Ragnarsson loðbrókar,"Agnarr Ragnarsson loðbrókar, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Agnarr Reginmóðsson,"Agnarr Reginmóðsson, berserkr, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,Agnarr,"Agnarr, bóndi á Grænmörk, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,Agni Alreksson,"Agni Alreksson, Svíakonungr, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,Áki Atlason,"Áki Atlason, Ótryggssonar, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,Áki inn auðgi,"Áki inn auðgi, danskr maðr, ",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,Áki,"Áki, ármaðr Sveinskonungs Úlfssonar, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
38,Akkerisfrakki,"Akkerisfrakki, gervinafn Óláfs Tryggvasonar, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,Akra-Þórir,"Akra-Þórir, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,Akraskeggr,"Akraskeggr, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,Albertus byskup í Brimum,"Albertus byskup í Brimum, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,Albertus,"Albertus, erkibyskup í Brimum, ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
